Cflo_N_g480t1	CFLO13102
Cflo_N_g481t1	CFLO20131
Cflo_N_g483t1	CFLO20130
Cflo_N_g484t1	CFLO20132
Cflo_N_g485t1	CFLO20129
Cflo_N_g486t1	CFLO20133
Cflo_N_g487t1	CFLO20134
Cflo_N_g488t1	CFLO20135
Cflo_N_g489t1	CFLO20128
Cflo_N_g490t1	CFLO20126
Cflo_N_g490t2	CFLO20126
Cflo_N_g490t3	CFLO20127
Cflo_N_g491t1	CFLO20136
Cflo_N_g494t1	CFLO20125
Cflo_N_g495t1	CFLO10150
Cflo_N_g495t2	CFLO10150
Cflo_N_g495t3	CFLO10150
Cflo_N_g496t1	CFLO20123
Cflo_N_g496t2	CFLO20123
Cflo_N_g496t3	CFLO20123
Cflo_N_g497t1	CFLO22570
Cflo_N_g498t1	CFLO22570
Cflo_N_g499t1	CFLO22570
Cflo_N_g500t1	CFLO26690
Cflo_N_g501t1	CFLO26690
Cflo_N_g502t1	CFLO24758
Cflo_N_g502t2	CFLO24758
Cflo_N_g503t1	CFLO16388
Cflo_N_g504t1	CFLO16386
Cflo_N_g506t1	CFLO15841
Cflo_N_g507t1	CFLO16390
Cflo_N_g508t1	CFLO16391
Cflo_N_g509t1	CFLO16385
Cflo_N_g509t2	CFLO16385
Cflo_N_g510t1	CFLO16385
Cflo_N_g512t1	CFLO16392
Cflo_N_g513t1	CFLO16393
Cflo_N_g514t1	CFLO16394
Cflo_N_g515t1	CFLO16395
Cflo_N_g517t1	CFLO16396
Cflo_N_g517t2	CFLO16396
Cflo_N_g517t3	CFLO16396
Cflo_N_g517t4	CFLO16396
Cflo_N_g518t1	CFLO16397
Cflo_N_g518t2	CFLO16397
Cflo_N_g519t1	CFLO16384
Cflo_N_g520t1	CFLO16380
Cflo_N_g520t2	CFLO16380
Cflo_N_g522t1	CFLO16398
Cflo_N_g523t1	CFLO16399
Cflo_N_g523t2	CFLO16399
Cflo_N_g524t1	CFLO16400
Cflo_N_g529t1	CFLO16401
Cflo_N_g530t1	CFLO16379
Cflo_N_g531t1	CFLO16378
Cflo_N_g531t2	CFLO16378
Cflo_N_g533t1	CFLO16377
Cflo_N_g534t1	CFLO16376
Cflo_N_g535t1	CFLO16402
Cflo_N_g535t2	CFLO16402
Cflo_N_g535t3	CFLO16402
Cflo_N_g536t1	CFLO24759
Cflo_N_g538t1	CFLO16403
Cflo_N_g539t1	CFLO16375
Cflo_N_g540t1	CFLO16404
Cflo_N_g540t2	CFLO16404
Cflo_N_g541t1	CFLO16405
Cflo_N_g542t1	CFLO16405
Cflo_N_g543t1	CFLO16374
Cflo_N_g543t2	CFLO16374
Cflo_N_g543t3	CFLO16374
Cflo_N_g544t1	CFLO16373
Cflo_N_g545t1	CFLO11644
Cflo_N_g546t1	CFLO16406
Cflo_N_g547t1	CFLO16372
Cflo_N_g548t1	CFLO16371
Cflo_N_g549t1	CFLO16370
Cflo_N_g550t1	CFLO16407
Cflo_N_g550t2	CFLO16407
Cflo_N_g552t1	CFLO16369
Cflo_N_g553t1	CFLO10179
Cflo_N_g554t1	CFLO10179
Cflo_N_g555t1	CFLO20431
Cflo_N_g556t1	CFLO20432
Cflo_N_g558t1	CFLO15206
Cflo_N_g558t2	CFLO15206
Cflo_N_g559t1	CFLO15204
Cflo_N_g560t1	CFLO15203
Cflo_N_g565t1	CFLO26568
Cflo_N_g567t1	CFLO15207
Cflo_N_g571t1	CFLO15210
Cflo_N_g571t2	CFLO15209
Cflo_N_g572t1	CFLO15210
Cflo_N_g573t1	CFLO15199
Cflo_N_g573t2	CFLO15199
Cflo_N_g574t1	CFLO15211
Cflo_N_g575t1	CFLO15197
Cflo_N_g575t2	CFLO15198
Cflo_N_g576t1	CFLO15196
Cflo_N_g577t1	CFLO15212
Cflo_N_g578t1	CFLO15195
Cflo_N_g579t1	CFLO15213
Cflo_N_g580t1	CFLO15194
Cflo_N_g581t1	CFLO15214
Cflo_N_g581t2	CFLO15214
Cflo_N_g581t3	CFLO15214
Cflo_N_g582t1	CFLO15193
Cflo_N_g583t1	CFLO15215
Cflo_N_g584t1	CFLO15216
Cflo_N_g585t1	CFLO15192
Cflo_N_g587t1	CFLO15192
Cflo_N_g588t1	CFLO15217
Cflo_N_g589t1	CFLO15191
Cflo_N_g590t1	CFLO15218
Cflo_N_g590t2	CFLO15218
Cflo_N_g590t3	CFLO15218
Cflo_N_g591t1	CFLO15190
Cflo_N_g592t1	CFLO26569
Cflo_N_g593t1	CFLO26570
Cflo_N_g594t1	CFLO15220
Cflo_N_g594t2	CFLO15220
Cflo_N_g595t1	CFLO15189
Cflo_N_g596t1	CFLO15221
Cflo_N_g597t1	CFLO15188
Cflo_N_g598t1	CFLO15187
Cflo_N_g599t1	CFLO15222
Cflo_N_g600t1	CFLO15186
Cflo_N_g602t1	CFLO15223
Cflo_N_g603t1	CFLO15185
Cflo_N_g603t2	CFLO15185
Cflo_N_g604t1	CFLO13642
Cflo_N_g605t1	CFLO13642
Cflo_N_g608t1	CFLO13404
Cflo_N_g610t1	CFLO10042
Cflo_N_g611t1	CFLO13403
Cflo_N_g613t1	CFLO13405
Cflo_N_g618t1	CFLO13402
Cflo_N_g619t1	CFLO13402
Cflo_N_g620t1	CFLO11665
Cflo_N_g621t1	CFLO13401
Cflo_N_g622t1	CFLO13407
Cflo_N_g623t1	CFLO13400
Cflo_N_g624t1	CFLO13408
Cflo_N_g625t1	CFLO13399
Cflo_N_g627t1	CFLO16017
Cflo_N_g631t1	CFLO13459
Cflo_N_g632t1	CFLO13460
Cflo_N_g633t1	CFLO13462
Cflo_N_g634t1	CFLO13463
Cflo_N_g635t1	CFLO13458
Cflo_N_g635t2	CFLO13458
Cflo_N_g636t1	CFLO13464
Cflo_N_g637t1	CFLO13456
Cflo_N_g637t2	CFLO13456
Cflo_N_g638t1	CFLO13688
Cflo_N_g639t1	CFLO26737
Cflo_N_g640t1	CFLO24304
Cflo_N_g642t1	CFLO14814
Cflo_N_g643t1	CFLO14814
Cflo_N_g644t1	CFLO11575
Cflo_N_g645t1	CFLO10588
Cflo_N_g646t1	CFLO26772
Cflo_N_g647t1	CFLO22549
Cflo_N_g647t2	CFLO22549
Cflo_N_g649t1	CFLO25810
Cflo_N_g650t1	CFLO23155
Cflo_N_g652t1	CFLO10472
Cflo_N_g655t1	CFLO10908
Cflo_N_g656t1	CFLO23156
Cflo_N_g659t1	CFLO23158
Cflo_N_g660t1	CFLO23158
Cflo_N_g660t2	CFLO23158
Cflo_N_g660t3	CFLO23158
Cflo_N_g661t1	CFLO23159
Cflo_N_g662t1	CFLO23154
Cflo_N_g664t1	CFLO23160
Cflo_N_g665t1	CFLO23162
Cflo_N_g666t1	CFLO10909
Cflo_N_g668t1	CFLO23243
Cflo_N_g669t1	CFLO23163
Cflo_N_g670t1	CFLO23164
Cflo_N_g671t1	CFLO23165
Cflo_N_g672t1	CFLO23152
Cflo_N_g673t1	CFLO23166
Cflo_N_g674t1	CFLO23151
Cflo_N_g674t2	CFLO23151
Cflo_N_g675t1	CFLO10910
Cflo_N_g676t1	CFLO23149
Cflo_N_g676t2	CFLO23149
Cflo_N_g676t3	CFLO23149
Cflo_N_g679t1	CFLO10473
Cflo_N_g681t1	CFLO24304
Cflo_N_g682t1	CFLO12230
Cflo_N_g683t1	CFLO13639
Cflo_N_g683t2	CFLO13639
Cflo_N_g683t3	CFLO13639
Cflo_N_g685t1	CFLO21049
Cflo_N_g686t1	CFLO21050
Cflo_N_g687t1	CFLO21048
Cflo_N_g687t2	CFLO21048
Cflo_N_g688t1	CFLO21051
Cflo_N_g689t1	CFLO21047
Cflo_N_g689t2	CFLO21047
Cflo_N_g689t3	CFLO21047
Cflo_N_g689t4	CFLO21047
Cflo_N_g690t1	CFLO21052
Cflo_N_g691t1	CFLO21046
Cflo_N_g692t1	CFLO21054
Cflo_N_g692t2	CFLO21054
Cflo_N_g693t1	CFLO21045
Cflo_N_g694t1	CFLO21055
Cflo_N_g696t1	CFLO21056
Cflo_N_g696t2	CFLO21056
Cflo_N_g697t1	CFLO21044
Cflo_N_g698t1	CFLO21043
Cflo_N_g698t2	CFLO21043
Cflo_N_g698t3	CFLO21043
Cflo_N_g698t4	CFLO21043
Cflo_N_g700t1	CFLO21042
Cflo_N_g704t1	CFLO21058
Cflo_N_g706t1	CFLO10326
Cflo_N_g707t1	CFLO21059
Cflo_N_g708t1	CFLO21041
Cflo_N_g709t1	CFLO21060
Cflo_N_g711t1	CFLO10324
Cflo_N_g712t1	CFLO10324
Cflo_N_g713t1	CFLO14523
Cflo_N_g713t2	CFLO14523
Cflo_N_g714t1	CFLO14525
Cflo_N_g715t1	CFLO14522
Cflo_N_g716t1	CFLO14521
Cflo_N_g719t1	CFLO14520
Cflo_N_g719t2	CFLO14520
Cflo_N_g719t3	CFLO14520
Cflo_N_g719t4	CFLO14520
Cflo_N_g724t1	CFLO10156
Cflo_N_g726t1	CFLO14518
Cflo_N_g729t1	CFLO11983
Cflo_N_g730t1	CFLO14517
Cflo_N_g730t2	CFLO14517
Cflo_N_g730t3	CFLO14517
Cflo_N_g730t4	CFLO14517
Cflo_N_g731t1	CFLO10157
Cflo_N_g732t1	CFLO10157
Cflo_N_g733t1	CFLO14516
Cflo_N_g734t1	CFLO14515
Cflo_N_g735t1	CFLO14514
Cflo_N_g735t2	CFLO14514
Cflo_N_g736t1	CFLO21489
Cflo_N_g737t1	CFLO10682
Cflo_N_g739t1	CFLO26723
