GLEAN_00397	TC000397
GLEAN_00398	TC000398
GLEAN_00399	TC000399
GLEAN_00400	TC000400
GLEAN_00401	TC000401
GLEAN_00402	TC000402
GLEAN_00403	TC000403
GLEAN_00404	TC000404
GLEAN_00405	TC000405
GLEAN_00406	TC000406
GLEAN_00407	TC000407
GLEAN_00408	TC000408
GLEAN_00409	TC000409
GLEAN_00410	TC000410
GLEAN_00411	TC000411
GLEAN_00412	TC000412
GLEAN_00413	TC000413
GLEAN_00414	TC000414
GLEAN_00415	TC000415
GLEAN_00416	TC000416
GLEAN_00417	TC000417
GLEAN_00418	TC000418
GLEAN_00419	TC000419
GLEAN_00420	TC000420
GLEAN_00421	TC000421
GLEAN_00422	TC000422
GLEAN_00423	TC000423
GLEAN_00424	TC000424
GLEAN_00425	TC000425
GLEAN_00426	TC000426
GLEAN_00427	TC000427
GLEAN_00428	TC000428
GLEAN_00429	TC000429
GLEAN_00430	TC000430
GLEAN_00431	TC000431
GLEAN_00432	TC000432
GLEAN_00433	TC000433
GLEAN_00434	TC000434
GLEAN_00435	TC000435
GLEAN_00437	TC000437
GLEAN_00438	TC000438
GLEAN_00439	TC000439
GLEAN_00440	TC000440
GLEAN_00441	TC000441
GLEAN_00442	TC000442
GLEAN_00443	TC000443
GLEAN_00444	TC000444
GLEAN_00445	TC000445
GLEAN_00446	TC000446
GLEAN_00447	TC000447
GLEAN_00448	TC000448
GLEAN_00449	TC000449
GLEAN_00450	TC000450
GLEAN_00451	TC000451
GLEAN_00453	TC000453
GLEAN_00454	TC000454
GLEAN_00455	TC000455
GLEAN_00456	TC000456
GLEAN_00457	TC000457
GLEAN_00458	TC000458
GLEAN_00459	TC000459
GLEAN_00460	TC000460
GLEAN_00461	TC000461
GLEAN_00462	TC000462
GLEAN_00463	TC000463
GLEAN_00464	TC000464
GLEAN_00465	TC000465
GLEAN_00466	TC000466
GLEAN_00467	TC000467
GLEAN_00468	TC000468
GLEAN_00469	TC000469
GLEAN_00470	TC000470
GLEAN_00471	TC000471
GLEAN_00472	TC000472
GLEAN_00473	TC000473
GLEAN_00474	TC000474
GLEAN_00475	TC000475
GLEAN_00476	TC000476
GLEAN_00477	TC000477
GLEAN_00478	TC000478
GLEAN_00479	TC000479
GLEAN_00480	TC000480
GLEAN_00481	TC000481
GLEAN_00482	TC000482
GLEAN_00483	TC000483
GLEAN_00484	TC000484
GLEAN_00485	TC000485
GLEAN_00486	TC000486
GLEAN_00487	TC000487
GLEAN_00488	TC000488
GLEAN_00489	TC000489
GLEAN_00490	TC000490
GLEAN_00491	TC000491
GLEAN_00492	TC000492
GLEAN_00493	TC000493
GLEAN_00494	TC000494
GLEAN_00495	TC000495
GLEAN_00496	TC000496
GLEAN_00497	TC000497
GLEAN_00498	TC000498
GLEAN_00499	TC000499
GLEAN_00500	TC000500
GLEAN_00501	TC000501
GLEAN_00502	TC000502
GLEAN_00503	TC000503
GLEAN_00504	TC000504
GLEAN_00505	TC000505
GLEAN_00506	TC000506
GLEAN_00507	TC000507
GLEAN_00508	TC000508
GLEAN_00509	TC000509
GLEAN_00510	TC000510
GLEAN_00511	TC000511
GLEAN_00512	TC000512
GLEAN_00513	TC000513
GLEAN_00514	TC000514
GLEAN_00515	TC000515
GLEAN_00516	TC000516
GLEAN_00517	TC000517
GLEAN_00518	TC000518
GLEAN_00520	TC000520
GLEAN_00521	TC000521
GLEAN_00522	TC000522
GLEAN_00523	TC000523
GLEAN_00524	TC000524
GLEAN_00525	TC000525
GLEAN_00526	TC000526
GLEAN_00527	TC000527
GLEAN_00528	TC000528
GLEAN_00529	TC000529
GLEAN_00530	TC000530
GLEAN_00531	TC000531
GLEAN_00532	TC000532
GLEAN_00533	TC000533
GLEAN_00534	TC000534
GLEAN_00535	TC000535
GLEAN_00536	TC000536
GLEAN_00537	TC000537
GLEAN_00538	TC000538
GLEAN_00539	TC000539
GLEAN_00540	TC000540
GLEAN_00541	TC000541
GLEAN_00542	TC000542
GLEAN_00543	TC000543
GLEAN_00544	TC000544
GLEAN_00545	TC000545
GLEAN_00546	TC000546
GLEAN_00547	TC000547
GLEAN_00548	TC000548
GLEAN_00549	TC000549
GLEAN_00550	TC000550
GLEAN_00551	TC000551
GLEAN_00552	TC000552
GLEAN_00553	TC000553
GLEAN_00554	TC000554
GLEAN_00555	TC000555
GLEAN_00556	TC000556
GLEAN_00557	TC000557
GLEAN_00558	TC000558
GLEAN_00559	TC000559
GLEAN_00560	TC000560
GLEAN_00561	TC000561
GLEAN_00562	TC000562
GLEAN_00563	TC000563
GLEAN_00564	TC000564
GLEAN_00565	TC000565
GLEAN_00566	TC000566
GLEAN_00567	TC000567
GLEAN_00568	TC000568
GLEAN_00569	TC000569
GLEAN_00570	TC000570
GLEAN_00571	TC000571
GLEAN_00572	TC000572
GLEAN_00573	TC000573
GLEAN_00574	TC000574
GLEAN_00575	TC000575
GLEAN_00576	TC000576
GLEAN_00577	TC000577
GLEAN_00578	TC000578
GLEAN_00579	TC000579
GLEAN_00580	TC000580
GLEAN_00581	TC000581
GLEAN_00582	TC000582
GLEAN_00583	TC000583
GLEAN_00584	TC000584
GLEAN_00585	TC000585
GLEAN_00586	TC000586
GLEAN_00587	TC000587
GLEAN_00588	TC000588
GLEAN_00589	TC000589
GLEAN_00590	TC000590
GLEAN_00591	TC000591
GLEAN_00592	TC000592
GLEAN_00593	TC000593
GLEAN_00594	TC000594-GA
GLEAN_00595	TC000595
GLEAN_00596	TC000596
GLEAN_00597	TC000597
GLEAN_00598	TC000598
GLEAN_00599	TC000599
GLEAN_00600	TC000600
GLEAN_00601	TC000601
GLEAN_00602	TC000602
GLEAN_00603	TC000603
GLEAN_00604	TC000604
GLEAN_00605	TC000605
GLEAN_00606	TC000606
GLEAN_00607	TC000607
GLEAN_00608	TC000608
GLEAN_00609	TC000609
GLEAN_00610	TC000610
GLEAN_00611	TC000611
GLEAN_00612	TC000612
GLEAN_00613	TC000613
GLEAN_00614	TC000614
GLEAN_00615	TC000615
GLEAN_00616	TC000616
GLEAN_00617	TC000617
GLEAN_00618	TC000618
GLEAN_00619	TC000619
GLEAN_00620	TC000620
GLEAN_00621	TC000621
GLEAN_00622	TC000622
GLEAN_00623	TC000623
GLEAN_00624	TC000624
GLEAN_00625	TC000625
GLEAN_00626	TC000626
GLEAN_00627	TC000627
GLEAN_00628	TC000628
GLEAN_00629	TC000629
GLEAN_00630	TC000630
GLEAN_00631	TC000631
GLEAN_00632	TC000632
GLEAN_00634	TC000634
GLEAN_00635	TC000635
GLEAN_00636	TC000636
GLEAN_00637	TC000637
GLEAN_00638	TC000638
GLEAN_00639	TC000639
GLEAN_00640	TC000640
GLEAN_00641	TC000641
GLEAN_00642	TC000642
GLEAN_00643	TC000643
GLEAN_00645	TC000645
GLEAN_00646	TC000646
GLEAN_00649	TC000649
GLEAN_00650	TC000650
GLEAN_00651	TC000651
GLEAN_00654	TC000654
GLEAN_00655	TC000655
GLEAN_00656	TC000656
GLEAN_00657	TC000657
GLEAN_00659	TC000659
GLEAN_00660	TC000660
GLEAN_00661	TC000661
GLEAN_00662	TC000662
GLEAN_00663	TC000663
GLEAN_00664	TC000664
GLEAN_00665	TC000665
GLEAN_00666	TC000666
GLEAN_00667	TC000667
GLEAN_00668	TC000668
GLEAN_00669	TC000669
GLEAN_00670	TC000670
GLEAN_00671	TC000671
GLEAN_00672	TC000672
GLEAN_00673	TC000673
GLEAN_00674	TC000674
GLEAN_00675	TC000675
GLEAN_00676	TC000676
GLEAN_00677	TC000677
GLEAN_00678	TC000678
GLEAN_00679	TC000679
GLEAN_00680	TC000680
GLEAN_00681	TC000681
GLEAN_00682	TC000682
GLEAN_00683	TC000683
GLEAN_00684	TC000684
GLEAN_00685	TC000685
GLEAN_00686	TC000686
GLEAN_00687	TC000687
GLEAN_00688	TC000688
GLEAN_00689	TC000689
GLEAN_00691	TC000691
GLEAN_00692	TC000692
GLEAN_00693	TC000693
GLEAN_00694	TC000694
GLEAN_00695	TC000695
GLEAN_00696	TC000696
GLEAN_00697	TC000697
GLEAN_00698	TC000698
GLEAN_00699	TC000699
GLEAN_00700	TC000700
GLEAN_00701	TC000701
GLEAN_00702	TC000702
GLEAN_00703	TC000703
GLEAN_00704	TC000704
GLEAN_00705	TC000705
GLEAN_00706	TC000706
GLEAN_00707	TC000707
GLEAN_00708	TC000708
GLEAN_00710	TC000710
GLEAN_00711	TC000711
GLEAN_00712	TC000712
GLEAN_00713	TC000713
GLEAN_00714	TC000714
GLEAN_00715	TC000715
GLEAN_00716	TC000716
GLEAN_00717	TC000717
GLEAN_00718	TC000718
GLEAN_00719	TC000719
GLEAN_00720	TC000720
GLEAN_00721	TC000721
GLEAN_00722	TC000722
GLEAN_00723	TC000723
GLEAN_00724	TC000724
GLEAN_00725	TC000725
GLEAN_00726	TC000726
GLEAN_00727	TC000727
GLEAN_00728	TC000728
GLEAN_00729	TC000729
GLEAN_00730	TC000730
GLEAN_00731	TC000731
GLEAN_00732	TC000732
GLEAN_00733	TC000733
GLEAN_00734	TC000734
GLEAN_00736	TC000736
GLEAN_00737	TC000737
GLEAN_00738	TC000738
